date,energy
2020-04-07,9.145
2020-04-08,65.13
2020-04-09,57.702000000000005
2020-04-10,32.519000000000005
2020-04-11,30.689
2020-04-12,0.749
2020-04-13,8.7035
2020-04-14,16.658
2020-04-15,22.497
2020-04-16,34.791000000000004
2020-04-17,6.288
2020-04-18,30.55
2020-04-19,33.967
2020-04-20,56.644999999999996
2020-04-21,31.704
2020-04-22,69.59299999999999
2020-04-23,14.417
2020-04-24,68.845
2020-04-25,44.753
2020-04-26,79.848
2020-04-27,20.500999999999998
2020-04-28,26.841
2020-04-29,47.34
2020-04-30,58.633
2020-05-01,36.371
2020-05-02,19.898
2020-05-03,40.546
2020-05-04,30.871000000000002
2020-05-05,71.735
2020-05-06,14.844999999999999
2020-05-07,25.476
2020-05-08,54.861
2020-05-09,125.4
2020-05-10,19.948999999999998
2020-05-11,35.199
2020-05-12,69.33
2020-05-13,32.743
2020-05-14,18.636
2020-05-15,43.454
2020-05-16,73.197
2020-05-17,55.864000000000004
2020-05-18,89.893
2020-05-19,122.524
2020-05-20,42.62
2020-05-21,75.375
2020-05-22,110.276
2020-05-23,30.379
2020-05-24,7.8020000000000005
2020-05-25,85.926
2020-05-26,59.980000000000004
2020-05-27,64.254
2020-05-28,46.103
2020-05-29,67.556
2020-05-30,89.687
2020-05-31,64.548
2020-06-01,51.391999999999996
2020-06-02,60.223
2020-06-03,76.582
2020-06-04,40.727000000000004
2020-06-05,73.57
2020-06-06,22.189999999999998
2020-06-07,61.158
2020-06-08,30.091
2020-06-09,30.134
2020-06-10,168.065
2020-06-11,64.076
2020-06-12,105.914
2020-06-13,97.211
2020-06-14,50.954
2020-06-15,23.808999999999997
2020-06-16,78.389
2020-06-17,66.952
2020-06-18,157.826
2020-06-19,18.086
2020-06-20,133.286
2020-06-21,98.606
2020-06-22,73.383
2020-06-23,43.953
2020-06-24,36.318
2020-06-25,118.773
2020-06-26,89.611
2020-06-27,55.34
2020-06-28,120.194
2020-06-29,82.86099999999999
2020-06-30,128.424
